DATE,COUNTRY_NAME,COUNTRY_CODE,cases,deaths,tests,cfr_perc,cases_100k_acdc,deaths_100k_acdc,population_acdc,tests_100k_acdc
"Sunday, June 28, 2020",Angola,AGO,267,11,22895,4.12,0.84,0.03,31785714,72.03
"Sunday, June 28, 2020",Benin,BEN,1187,19,20014,1.6,10.06,0.16,11799205,169.62
"Sunday, June 28, 2020",Botswana,BWA,89,1,36868,1.12,3.71,0.04,2398922,1536.86
"Sunday, June 28, 2020",Burkina Faso,BFA,959,53,9040,5.53,4.59,0.25,20893246,43.27
"Sunday, June 28, 2020",Burundi,BDI,170,1,2359,0.59,1.47,0.01,11564626,20.4
"Sunday, June 28, 2020",Cameroon,CMR,12592,313,80000,2.49,49.77,1.24,25300382,316.2
"Sunday, June 28, 2020",Cabo Verde,CPV,1165,12,22665,1.03,194.17,2,599990,3777.56
"Sunday, June 28, 2020",Central African Republic,CAF,3429,45,23208,1.31,71.44,0.94,4799832,483.52
"Sunday, June 28, 2020",Chad,TCD,866,74,4633,8.55,5.48,0.47,15802920,29.32
"Sunday, June 28, 2020",Comoros,COM,293,7,1173,2.39,32.56,0.78,899877,130.35
"Sunday, June 28, 2020",Cote d Ivoire,CIV,9101,66,48340,0.73,35.69,0.26,25500140,189.57
"Sunday, June 28, 2020",Democratic Republic of the Congo,COD,6939,167,24657,2.41,8,0.19,86737500,28.43
"Sunday, June 28, 2020",Djibouti,DJI,4656,53,46108,1.14,465.6,5.3,1000000,4610.8
"Sunday, June 28, 2020",Equatorial Guinea ,GNQ,2001,32,16000,1.6,142.93,2.29,1399986,1142.87
"Sunday, June 28, 2020",Eritrea,ERI,191,0,7943,0,3.6,0,5305556,149.71
"Sunday, June 28, 2020",Eswatini,SWZ,781,11,11094,1.41,55.79,0.79,1399892,792.49
"Sunday, June 28, 2020",Ethiopia,ETH,5846,103,250604,1.76,5.31,0.09,110094162,227.63
"Sunday, June 28, 2020",Gabon,GAB,5209,40,34774,0.77,248.05,1.9,2099980,1655.92
"Sunday, June 28, 2020",Gambia,GMB,45,2,2947,4.44,2.05,0.09,2195122,134.25
"Sunday, June 28, 2020",Ghana,GHA,17351,112,294867,0.65,57.64,0.37,30102359,979.55
"Sunday, June 28, 2020",Guinea,GIN,5291,30,33737,0.57,39.49,0.22,13398329,251.8
"Sunday, June 28, 2020",Guinea Bissau,GNB,1614,21,8056,1.3,80.7,1.05,2000000,402.8
"Sunday, June 28, 2020",Kenya,KEN,6190,144,167417,2.33,11.86,0.28,52192243,320.77
"Sunday, June 28, 2020",Lesotho,LSO,27,0,3000,0,1.17,0,2307692,130
"Sunday, June 28, 2020",Liberia,LBR,768,34,6125,4.43,15.36,0.68,5000000,122.5
"Sunday, June 28, 2020",Madagascar,MDG,2138,20,21444,0.94,7.92,0.07,26994949,79.44
"Sunday, June 28, 2020",Malawi,MWI,1152,13,13369,1.13,5.85,0.07,19692308,67.89
"Sunday, June 28, 2020",Mali,MLI,2147,113,12869,5.26,10.9,0.57,19697248,65.33
"Sunday, June 28, 2020",Mauritania,MRT,4149,126,39398,3.04,88.28,2.68,4699819,838.29
"Sunday, June 28, 2020",Mauritius,MUS,341,10,171792,2.93,26.23,0.77,1300038,13214.38
"Sunday, June 28, 2020",Mozambique,MOZ,859,5,28586,0.58,2.74,0.02,31350365,91.18
"Sunday, June 28, 2020",Namibia,NAM,183,0,8706,0,7.04,0,2599432,334.92
"Sunday, June 28, 2020",Niger,NER,1074,67,6555,6.24,4.63,0.29,23196544,28.26
"Sunday, June 28, 2020",Nigeria,NGA,24567,565,130164,2.3,12.22,0.28,201039280,64.75
"Sunday, June 28, 2020",Republic of the Congo,COG,1245,40,11790,3.21,22.64,0.73,5499117,214.4
"Sunday, June 28, 2020",Rwanda,RWA,900,2,137751,0.22,7.03,0.02,12802276,1075.99
"Sunday, June 28, 2020",Sao Tome and Principe,STP,713,13,17773,1.82,356.6,6.5,199944,8888.99
"Sunday, June 28, 2020",Senegal,SEN,6698,108,76343,1.61,40.11,0.65,16699078,457.17
"Sunday, June 28, 2020",Seychelles,SYC,77,0,704,0,77,0,100000,704
"Sunday, June 28, 2020",Sierra Leone,SLE,1427,60,9973,4.2,18.06,0.76,7901440,126.22
"Sunday, June 28, 2020",Somalia,SOM,2894,90,11807,3.11,18.55,0.58,15601078,75.68
"Sunday, June 28, 2020",South Africa,ZAF,138134,2456,1567084,1.78,237.75,4.23,58100526,2697.19
"Sunday, June 28, 2020",South Sudan,SSD,2006,37,10630,1.84,15.08,0.28,13302387,79.91
"Sunday, June 28, 2020",Tanzania,TZA,509,21,3880,4.13,0.84,0.03,60595238,6.4
"Sunday, June 28, 2020",Togo,TGO,642,14,30316,2.18,7.83,0.17,8199234,369.74
"Sunday, June 28, 2020",Uganda,UGA,870,0,186200,0,1.9,0,45789474,406.64
"Sunday, June 28, 2020",Zambia,ZMB,1531,21,53370,1.37,8.46,0.12,18096927,294.91
"Sunday, June 28, 2020",Zimbabwe,ZWE,567,6,66712,1.06,3.28,0.03,17286585,385.92