Country,City
Angola,Luanda
Benin,Cotonou
Botswana,Gaborone
Burkina Faso,Ougadougou
Burundi,Bujumbura
Cabo Verde,Praia
Cameroon,Douala
Central African Republic,Bangui
Chad,N'Djamena
Comoros,Moroni
Congo,Brazzaville
Cote d'Ivoire,Abidjan
Democratic Republic of the Congo,Kinshasa
Democratic Republic of the Congo,Lubumbashi
Djibouti,Djibouti
Equatorial Guinea,Bata
Eritrea,Asmara
Eswatini,Manzini
Ethiopia,Addis Ababa
Gabon,Libreville
Gambia,Serrekunda
Ghana,Accra
Ghana,Kumasi
Guinea,Conakry
Guinea-Bissau,Bissau
Kenya,Nairobi
Lesotho,Maseru
Liberia,Monrovia
Madagascar,Antananarivo
Malawi,Lilongwe
Mali,Bamako
Mauritania,Nouakchott
Mauritius,Port Louis
Mozambique,Maputo
Namibia,Windhoek
Niger,Niamey
Nigeria,Lagos
Nigeria,Abuja
Nigeria,Kano
Nigeria,Ibadan
Nigeria,Port Harcourt
Rwanda,Kigali
Sao Tome and Principe,Sao Tome
Senegal,Dakar
Seychelles,Victoria
Sierra Leone,Freetown
Somalia,Mogadishu
South Africa,Johannesburg
South Africa,Cape Town
South Africa,Durban
South Africa,Port Elizabeth
South Africa,Pretoria
South Sudan,Juba
Tanzania,Dar es Salaam
Togo,Lome
Uganda,Kampala
Zambia,Lusaka
Zimbabwe,Harare