COUNTRY_NAME,COUNTRY_CODE,cases_20200923,deaths_20200923,tests_20200923,cases_20200628,deaths_20200628,tests_20200628
Angola,AGO,4363,59,67623,267,11,22895
Benin,BEN,2294,40,144210,1187,19,20014
Botswana,BWA,2567,13,156054,89,1,36868
Burkina Faso,BFA,1929,56,43607,959,53,9040
Burundi,BDI,476,1,34723,170,1,2359
Cameroon,CMR,20690,416,453441,12592,313,80000
Cabo Verde,CPV,5412,54,78957,1165,12,22665
Central African Republic,CAF,4802,62,31723,3429,45,23208
Chad,TCD,1164,81,26741,866,74,4633
Comoros,COM,470,7,3025,293,7,1173
Cote d Ivoire,CIV,19430,120,125972,9101,66,48340
Democratic Republic of the Congo,COD,10555,271,59093,6939,167,24657
Djibouti,DJI,5407,61,75166,4656,53,46108
Equatorial Guinea ,GNQ,5018,83,58603,2001,32,16000
Eritrea,ERI,364,0,12269,191,0,7943
Eswatini,SWZ,5343,108,42834,781,11,11094
Ethiopia,ETH,71083,1141,1226297,5846,103,250604
Gabon,GAB,8716,54,157828,5209,40,34774
Gambia,GMB,3542,110,16759,45,2,2947
Ghana,GHA,46153,299,474120,17351,112,294867
Guinea,GIN,10434,65,82365,5291,30,33737
Guinea Bissau,GNB,2303,39,1846,1614,21,8056
Kenya,KEN,37348,664,523998,6190,144,167417
Lesotho,LSO,1554,35,18216,27,0,3000
Liberia,LBR,1338,82,17874,768,34,6125
Madagascar,MDG,16191,227,76137,2138,20,21444
Malawi,MWI,5746,179,51456,1152,13,13369
Mali,MLI,3034,130,40733,2147,113,12869
Mauritania,MRT,7425,161,78815,4149,126,39398
Mauritius,MUS,367,10,233011,341,10,171792
Mozambique,MOZ,7262,49,128805,859,5,28586
Namibia,NAM,10663,117,91902,183,0,8706
Niger,NER,1193,69,16582,1074,67,6555
Nigeria,NGA,57724,1102,484051,24567,565,130164
Republic of the Congo,COG,5005,89,35219,1245,40,11790
Rwanda,RWA,4779,27,481283,900,2,137751
Sao Tome and Principe,STP,908,15,6193,713,13,17773
Senegal,SEN,14816,304,170087,6698,108,76343
Seychelles,SYC,143,0,5200,77,0,704
Sierra Leone,SLE,2183,72,25976,1427,60,9973
Somalia,SOM,3465,98,20516,2894,90,11807
South Africa,ZAF,665188,16206,4083757,138134,2456,1567084
South Sudan,SSD,2664,49,19433,2006,37,10630
Tanzania,TZA,509,21,3880,509,21,3880
Togo,TGO,1701,41,85422,642,14,30316
Uganda,UGA,7064,70,463618,870,0,186200
Zambia,ZMB,14491,332,146329,1531,21,53370
Zimbabwe,ZWE,7725,227,63185,567,6,66712